Zones,Year,Z_Turnout_Percentage,Z_Vote_Share_Percentage.OTHER,Z_Vote_Share_Percentage.UPA,Z_Vote_Share_Percentage.NDA,LAG_Z_Vote_Share_Percentage.NDA,LAG_Z_Vote_Share_Percentage.UPA,LAG_Z_Vote_Share_Percentage.OTHER,LAG_Z_Turnout_Percentage,LAG2_Z_Vote_Share_Percentage.NDA,LAG2_Z_Vote_Share_Percentage.UPA,LAG2_Z_Vote_Share_Percentage.OTHER,LAG2_Z_Turnout_Percentage,LAG3_Z_Vote_Share_Percentage.NDA,LAG3_Z_Vote_Share_Percentage.UPA,LAG3_Z_Vote_Share_Percentage.OTHER,LAG3_Z_Turnout_Percentage
Eastern,1962,0.418412431509508,0.353283095065019,0.646716904934981,,,,,,,,,,,,,
Eastern,1967,0.520326842493645,0.560033980099772,0.439966019900228,,,0.646716904934981,0.353283095065019,0.418412431509508,,,,,,,,
Eastern,1971,0.481304289379734,0.566555516389496,0.433444483610504,,,0.439966019900228,0.560033980099772,0.520326842493645,,0.646716904934981,0.353283095065019,0.418412431509508,,,,
Eastern,1977,0.508535265758832,0.61848391982723,0.38151608017277,,,0.433444483610504,0.566555516389496,0.481304289379734,,0.439966019900228,0.560033980099772,0.520326842493645,,0.646716904934981,0.353283095065019,0.418412431509508
Eastern,1980,0.557462538809881,0.930641441544122,0.0693585584558781,,,0.38151608017277,0.61848391982723,0.508535265758832,,0.433444483610504,0.566555516389496,0.481304289379734,,0.439966019900228,0.560033980099772,0.520326842493645
Eastern,1984,0.639634723967277,0.376501470646346,0.582947004878368,0.0405515244752866,,0.0693585584558781,0.930641441544122,0.557462538809881,,0.38151608017277,0.61848391982723,0.508535265758832,,0.433444483610504,0.566555516389496,0.481304289379734
Eastern,1989,0.657020356061497,0.45222229026026,0.469986268373715,0.0777914413660247,0.0405515244752866,0.582947004878368,0.376501470646346,0.639634723967277,,0.0693585584558781,0.930641441544122,0.557462538809881,,0.38151608017277,0.61848391982723,0.508535265758832
Eastern,1991,0.614165151229508,0.393333600046708,0.449179203888573,0.157451681944662,0.0777914413660247,0.469986268373715,0.45222229026026,0.657020356061497,0.0405515244752866,0.582947004878368,0.376501470646346,0.639634723967277,,0.0693585584558781,0.930641441544122,0.557462538809881
Eastern,1996,0.672152115578605,0.401488827807483,0.448974975900124,0.149468017625725,0.157451681944662,0.449179203888573,0.393333600046708,0.614165151229508,0.0777914413660247,0.469986268373715,0.45222229026026,0.657020356061497,0.0405515244752866,0.582947004878368,0.376501470646346,0.639634723967277
Eastern,1998,0.670540762738136,0.461393951686902,0.327599412747626,0.210989822175145,0.149468017625725,0.448974975900124,0.401488827807483,0.672152115578605,0.157451681944662,0.449179203888573,0.393333600046708,0.614165151229508,0.0777914413660247,0.469986268373715,0.45222229026026,0.657020356061497
Eastern,1999,0.626936787793249,0.466346086599385,0.308736239685352,0.224917673715263,0.210989822175145,0.327599412747626,0.461393951686902,0.670540762738136,0.149468017625725,0.448974975900124,0.401488827807483,0.672152115578605,0.157451681944662,0.449179203888573,0.393333600046708,0.614165151229508
Eastern,2004,0.673232741535766,0.461236837103645,0.342353651960139,0.196409510936217,0.224917673715263,0.308736239685352,0.466346086599385,0.626936787793249,0.210989822175145,0.327599412747626,0.461393951686902,0.670540762738136,0.149468017625725,0.448974975900124,0.401488827807483,0.672152115578605
Eastern,2009,0.691553817784771,0.53754891845558,0.301321453315841,0.161129628228579,0.196409510936217,0.342353651960139,0.461236837103645,0.673232741535766,0.224917673715263,0.308736239685352,0.466346086599385,0.626936787793249,0.210989822175145,0.327599412747626,0.461393951686902,0.670540762738136
Eastern,2014,0.756778371370903,0.505175865868576,0.236917749784438,0.25789718299641,0.161129628228579,0.301321453315841,0.53754891845558,0.691553817784771,0.196409510936217,0.342353651960139,0.461236837103645,0.673232741535766,0.224917673715263,0.308736239685352,0.466346086599385,0.626936787793249
North,1962,0.564594199136988,0.509302577635941,0.490697422364059,,,,,,,,,,,,,
North,1967,0.601821715977042,0.576718705806912,0.423281294193088,,,0.490697422364059,0.509302577635941,0.564594199136988,,,,,,,,
North,1971,0.547948011658699,0.396841099804915,0.537344336184441,0.0658145640106438,,0.423281294193088,0.576718705806912,0.601821715977042,,0.490697422364059,0.509302577635941,0.564594199136988,,,,
North,1977,0.612313701952515,0.594609841001345,0.2971767441658,0.108213414832855,0.0658145640106438,0.537344336184441,0.396841099804915,0.547948011658699,,0.423281294193088,0.576718705806912,0.601821715977042,,0.490697422364059,0.509302577635941,0.564594199136988
North,1980,0.568582556990421,0.939526100095461,0.00820296121013039,0.0522424235616222,0.108213414832855,0.2971767441658,0.594609841001345,0.612313701952515,0.0658145640106438,0.537344336184441,0.396841099804915,0.547948011658699,,0.423281294193088,0.576718705806912,0.601821715977042
North,1984,0.597598585881913,0.327779254846283,0.512661080600292,0.159547889870924,0.0522424235616222,0.00820296121013039,0.939526100095461,0.568582556990421,0.108213414832855,0.2971767441658,0.594609841001345,0.612313701952515,0.0658145640106438,0.537344336184441,0.396841099804915,0.547948011658699
North,1985,0.645000403316417,0.112802712296137,0.467960681212777,0.419236606491086,0.159547889870924,0.512661080600292,0.327779254846283,0.597598585881913,0.0522424235616222,0.00820296121013039,0.939526100095461,0.568582556990421,0.108213414832855,0.2971767441658,0.594609841001345,0.612313701952515
